Name                                ,Subscriber Count ,Video Count ,View Count
Angie Speaks                        ,         38300.0 ,       23.0 ,    629620.0
Best Cooking Show Ever              ,          1660.0 ,       21.0 ,    157298.0
Ced                                 ,        308000.0 ,      380.0 ,  74079680.0
Colin and Samir                     ,       1340000.0 ,      387.0 , 390803143.0
Chiropractic Medicine               ,        670000.0 ,      340.0 , 225751207.0
Hallease                            ,        106000.0 ,      697.0 ,  17856050.0
How to ADHD                         ,       1570000.0 ,      322.0 ,  97901184.0
Jouelzy                             ,        239000.0 ,      402.0 ,  14766485.0
ItsKatLazo                          ,         12500.0 ,       68.0 ,   1588543.0
Kati Morton                         ,       1290000.0 ,     1455.0 , 122563253.0
King(sley)                          ,       2690000.0 ,       30.0 ,  42738374.0
Destiny                             ,        712000.0 ,     2791.0 , 470560642.0
Trae Crowder                        ,        476000.0 ,      627.0 ,  53873649.0
Domo Wilson                         ,       1780000.0 ,      240.0 ,  98481960.0
ayydubs                             ,       1710000.0 ,      320.0 , 204200444.0
AmbersCloset                        ,        815000.0 ,      727.0 , 158843465.0
doddleoddle                         ,       2010000.0 ,      197.0 , 432495831.0
Evelyn From The Internets           ,        243000.0 ,      443.0 ,  21629889.0
Hip Hughes                          ,        316000.0 ,      677.0 ,  48990684.0
James Henry                         ,          9950.0 ,       78.0 ,    265882.0
Jc Caylen                           ,       2750000.0 ,      164.0 , 183873106.0
FunForLouis                         ,       1980000.0 ,     1925.0 , 335241920.0
Melissa Metrano                     ,       2900000.0 ,      709.0 ,2440739719.0
RayaWasHere                         ,        187000.0 ,      212.0 ,  15076461.0
Just Jared                          ,         28400.0 ,      198.0 ,  27427824.0
What's Trending                     ,        614000.0 ,     6639.0 , 323097462.0
toddy smith                         ,       1110000.0 ,      520.0 ,  79663378.0
Yes Theory                          ,       8530000.0 ,      380.0 ,1027692581.0
Fearless & Far                      ,       2330000.0 ,      423.0 , 672744704.0
Nicole Rafiee                       ,        621000.0 ,      272.0 ,  40927608.0
Sara Echeagaray                     ,        794000.0 ,      165.0 , 260054106.0
Tar Mar                             ,        151000.0 ,      541.0 ,  15199958.0
ANJA                                ,        803000.0 ,       86.0 ,  67674198.0
Charles Gitnick                     ,         75800.0 ,       71.0 ,    620066.0
Genevieve Hannelius                 ,        330000.0 ,       70.0 ,  11112645.0
JADE FOX                            ,        253000.0 ,      357.0 ,  15189861.0
Jessica Whitaker                    ,        221000.0 ,      405.0 ,  13949165.0
Kassandra Lee                       ,        174000.0 ,      315.0 ,  19960790.0
Maiah Ocando                        ,        804000.0 ,      337.0 ,  50272007.0
Solid Starts                        ,        210000.0 ,      327.0 ,  17176102.0
Dustin & Burton - Raising Buffaloes ,        135000.0 ,      167.0 ,  18048595.0
Adison Briana                       ,        709000.0 ,      370.0 , 111535196.0
Salem Tovar                         ,        596000.0 ,       82.0 ,  41275012.0
Sky Life                            ,        359000.0 ,      194.0 ,  35546069.0
UNTIL THE RIBBON BREAKS             ,         33100.0 ,      121.0 ,  12232681.0
BadKidMacei                         ,        959000.0 ,      161.0 ,  78617063.0
Channon Rose                        ,        995000.0 ,     1201.0 , 204767647.0
Charles and Allie                   ,       1370000.0 ,     5049.0 , 815930270.0
Davidsbeenhere                      ,       1220000.0 ,     3703.0 , 323511189.0
Eitan Bernath                       ,        352000.0 ,      901.0 , 111487107.0
Franny Arrieta                      ,        604000.0 ,      465.0 , 104964189.0
JaclynGlenn                         ,        796000.0 ,      593.0 , 144903204.0
Jayllnn                             ,       1790000.0 ,      285.0 ,1160734620.0
Jenna Larson                        ,        516000.0 ,      119.0 ,  54463996.0
Kelsi Davies                        ,       2030000.0 ,      851.0 , 674514288.0
The Laine Family                    ,        606000.0 ,      164.0 ,  40370322.0
Michael & Anthony                   ,        223000.0 ,      231.0 ,  22572726.0
Motivation2Study                    ,       4180000.0 ,      449.0 , 301125461.0
Nick DiRamio                        ,        326000.0 ,      553.0 ,  72178416.0
The Grapevine                       ,        197000.0 ,        3.0 ,    627654.0
