Name,Subscriber Count,Video Count,View Count
Akeeba Maze,173000,218,16928716
Ced,308000,380,74079680
Hallease,106000,697,17856050
Maiah Ocando,804000,337,50268800
Michael & Matt,105000,282,6091273
Dustin & Burton - Raising Buffaloes,135000,167,18048595
Jessica Whitaker,221000,405,13946373
AmbersCloset,815000,727,158843465
FunForLouis,1980000,1925,335236295
Najwa Zebian,48500,64,675166
What's Trending,614000,6634,323097462
Wine n' Chill,54300,214,3200644
The Grapevine,197000,3,627654
Tazzy Phe,99000,223,9120408
ItsRadishTime,22900,410,1498189
Jamie Perkins,1720000,271,42639968
Lily Petals World 릴리가족,796000,1243,171000782
Elena Taber,781000,364,59604274
Fab Socialism ,225000,63,9510183
Wheelsnoheels - Gem Hubbard,68100,411,13666591
Ivan McCombs,2440000,974,1227197452
jnaydaily,202000,128,7581946
PeruseProject,373000,1304,58051256
Sabrina Sustainable Life,7930,127,2599405
Shallon Lester,350000,1010,96003776
Belief It Or Not,149000,220,21475946
Brian Tyler Cohen,2300000,2544,1656114359
Domo Wilson,1780000,240,98481960
Duncanyounot,708000,156,54953482
Emma Monden,815000,303,99630263
The Most Unruly,199000,103,17179675
JaclynGlenn,796000,593,144898803
Jenna Larson,516000,119,54458459
Kacey Dirksen,150000,440,32103968
Laura Lee,4620000,1022,798846393
LeendaDProductions,1150000,21,54171912
Liv Pearsall,1880000,598,980021613
Mattie Westbrouck,3060000,683,1840709358
monica kim 🌷,78500,304,3774818
Nick DiRamio,326000,553,72178416
The Laine Family,606000,164,40370322
What If,7630000,1155,1415939103
