Name,Subscriber Count,Video Count,View Count
ANJA,803000,86,67674198
Ced,308000,380,74079680
Charles Gitnick,75800,71,620066
Genevieve Hannelius,330000,70,11112645
Hallease,106000,697,17856050
JADE FOX,253000,357,15189861
Jessica Whitaker,221000,405,13949165
Kassandra Lee,174000,315,19960790
King(sley),2690000,30,42738374
Maiah Ocando,804000,337,50272007
Solid Starts,210000,327,17176102
Dustin & Burton - Raising Buffaloes,135000,167,18048595
Adison Briana,709000,370,111535196
AmbersCloset,815000,727,158843465
FunForLouis,1980000,1925,335241920
Salem Tovar,596000,82,41275012
Sky Life,359000,194,35546069
toddy smith,1110000,520,79663378
UNTIL THE RIBBON BREAKS,33100,121,12232681
What's Trending,614000,6639,323097462
BadKidMacei,959000,161,78617063
Channon Rose,995000,1201,204767647
Charles and Allie,1370000,5049,815930270
Davidsbeenhere,1220000,3703,323511189
Domo Wilson,1780000,240,98481960
Eitan Bernath,352000,901,111487107
Franny Arrieta,604000,465,104964189
JaclynGlenn,796000,593,144903204
Jayllnn,1790000,285,1160734620
Jenna Larson,516000,119,54463996
Kelsi Davies,2030000,851,674514288
The Laine Family,606000,164,40370322
Michael & Anthony,223000,231,22572726
Motivation2Study,4180000,449,301125461
Nick DiRamio,326000,553,72178416
The Grapevine,197000,3,627654
What If,7630000,1155,1415939103
404: Failed to extract channel URL for: https://www.youtube.com/c/mattbluedh
