title,published_at,channel_title,like_count,comment,commenter_id,comment_published_at
Pride is more than a month🌈🙏🏽🖤,2023-06-28T19:05:28Z,AmbersCloset,815,"it sucks to be labeled cis women😢 And memorizing pronouns is a bit much.<br><br>The LBGTQ community is standing strong, hopefully everyone who isnt part of the LGBTQ community can also be respected.",UCLjJxrrA8qRI89QdIyAjIRw,2023-09-27T22:04:15Z
,,,,Cis people ????,UCG7yp16o6YsRUE_rqxlt7iA,2023-07-26T22:44:25Z
,,,,What happened to you?,UCexWTr0ZBIXMI5OMKgWE0sA,2023-07-18T05:28:07Z
,,,,Love your eyebrows ....speak truth 🤟,UCUhUreBcRrVDI4xDwwmZb4A,2023-07-12T22:57:38Z
,,,,🏳️‍🌈❤️,UCnptaoUEwtQ8g6AQ5pw50Mw,2023-07-01T18:38:35Z
,,,,Amazing Pride,UCdNMHs8IWzx8yhluqI_9KYQ,2023-07-01T17:16:23Z
,,,,What nonsense! 😂,UC8dX7VUDU4GBTTmE9AJvNDg,2023-06-30T10:58:53Z
,,,,"Namaste 🙏🏾 Amber, Thank you for bringing awareness to the LGBTQ+ community our love and fight will never end🌈💝",UCtlp5T_JQYRKJJeGnn6cADw,2023-06-29T20:35:39Z
,,,,🌈🌈🌈🌈,UCkUesZ5AOD9x0CC03nh0eoA,2023-06-29T02:04:32Z
,,,,Absolutely love Amber just for this reason! ❤.,UCYBb1u8rPtqVhRb49IyeKRw,2023-06-28T22:28:42Z
,,,,I watch the documentary you did it was great I learned alot<br> Keep on teaching and I will keep learning.,UCRj5btV1u4CgrN_y1lywrUw,2023-06-28T21:50:06Z
,,,,Amber is so well spoken and using it to fight for our rights. Let’s make her president 2024!,UCcD70uRfcZGuo-ZmPSZzmNA,2023-06-28T21:32:40Z
,,,,Seek mental health,UC0Zs9BOktcVQ5YXbRZOF4jw,2023-06-28T20:13:06Z
,,,,Cool educational video,UCWMN8u0webQRX3JACG4CF1w,2023-06-28T20:09:58Z
,,,,I like the video amberscloset ❤️ and❤ you look really really hot too amberscloset ❤️ and❤ I Wood like too meet you one day too amberscloset ❤ and❤ keep up the good work on your YouTube channel too amberscloset ❤️,UCjLa1l7HYbaJ6LueITfPWXg,2023-06-28T19:42:55Z
The Seven Deadly Sins: Wrath | Belief It Or Not,2023-01-11T10:00:04Z,Belief It Or Not,6460,"Jonathan Lokluda: It wasn’t ok with the dad.<br><br>Me: Ok, the dad was rightfully pissed…..That’s good. What about the victims? Are you gonna ignore them and only focus on what their loved ones would think? 🤨😒🙄",UC2xBVx1PG7lRUeWwf7RUe_w,2023-10-19T13:56:58Z
,,,,Saying people who don&#39;t forgive will end up alone and isolated is such an manipulative thing to say. <br><br>I&#39;ve found it&#39;s easy to get triggered by sermons because they are speaking to their audience in the same mocking way abusive people do to fuck with your confidence.,UCVQaKpuMWmRBrHTz-ijLGiA,2023-10-17T07:38:43Z
,,,,I thought Christian&#39;s didn&#39;t believe in mental illness. Time for them to stfu about narcissism.,UCVQaKpuMWmRBrHTz-ijLGiA,2023-10-17T06:00:40Z
,,,,"As an ex-Christian and a survivor of child s3xual gRape and abuse, this hits close to home. <br>My abuser was my stepdad and he was the right-hand man to our pastor(Bishop) of a megachurch in Virginia, and he&#39;s still the right-hand of that bishop today. The church doesn&#39;t care about his behavior and protects him but not me! It&#39;s sickening and disturbing. Most of these churches are riddled with s3xual abuse and that&#39;s why they need to drive home the thought of forgiveness. Because this happens too much and they don&#39;t care about the victims but protecting MEN!! They told me to forgive him or else god will not forgive me! They are so disgusting! My anger is justified and I don&#39;t wish my stepdad well, he ruined my life and I have so many mental illnesses over his abuse! If my lack of forgiveness and not wanting anything to do with him will send me to hell, so be it!.",UCf3cF61lsfOgRf2pINI37Gw,2023-10-16T23:49:44Z
,,,,"<a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=5m26s"">5:26</a> something tells me its all 3-",UCBiHbqY-M9VG_JX4Mxz4csQ,2023-10-12T21:33:48Z
,,,,That clip of &quot;shut up about the son!&quot; was absolutely hilarious lmao how do you even come up with these? 😂,UC-LBibOBhFobWKb-nFC7r2w,2023-10-11T00:25:13Z
,,,,"<a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=14m41s"">14:41</a> Texas Pastor Dillon Awes.",UCnhloQ9yHqpgtMd8DQT0Sfg,2023-10-06T22:50:41Z
,,,,"Come let us reason, how is the High Priest Caiaphas, (the one who organized the plot to kill Jesus), going to see him (that means using his own eye balls) coming in the clouds? &quot;And Jesus said, I am: and ye shall see the Son of man sitting on the right hand of power, and coming in the clouds of heaven.&quot; This here is called a failed prophecy, because Caiaphas is dead, and did not see anyone sitting at the right hand of power, except the Roman officials, nor did he see the Son of man coming in the clouds of heaven. And all your apologetic backflips are not going to change the fact, that Jesus was a false prophet. He said many times he would be back within their generation, and it never happend. So they had to come up with some more BS to explain why he dinna come back, so the geniuses that they are suddenly proclaim, that a day is like a thousand years to God, just look at the Adam and Eve story... did they die that day like God said they would? No, it took 930 years for Adam to die...and besides, He couldn&#39;t come back because not everyone has turned from sin, and he&#39;s just being patient with you that&#39;s all, don&#39;t worry, he&#39;s coming back soon, you just gotta believe, oh ye of little faith, now go handle your snakes and drink your poison, like a good Cretin, oops I mean Christian.",UCEdKRmQ1fhRSlr6B1ChS59A,2023-10-05T13:33:55Z
,,,,"Red Green would be proud of this guy at <a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=37m45s"">37:45</a> &quot;Duct Tape Forever&quot;",UCEdKRmQ1fhRSlr6B1ChS59A,2023-10-05T12:44:59Z
,,,,What would they say when your anger and hurt comes from the very church where they work. Neither Pokluda or Marvin have seminary degrees (not that it matters) but they became mini celebrity pastors under the leadership of Todd Wagner (got kicked out as the head pastor). They are nothing more than sheep with nice jeans and a microphone.,UCs3CxATKdkwde1y04HtqPzg,2023-09-25T22:52:53Z
,,,,"Most of my life I avoided anger, the church preached it, my abusive step father was an example of it. So a wall was put up and I did not feel anger for years, I felt sad I couldn’t feel anger so I bottled that up too.<br><br>Not saying it was 100% religions fault but living a life without anger or sadness only made it easier for others to walk on me",UC3GC5ONybSpqytszSI9mLTQ,2023-09-22T13:33:36Z
,,,,"<a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=3m52s"">3:52</a> you might like Louis Rossmann who does a lot of content about right to repair:<br><a href=""https://www.youtube.com/@rossmanngroup"">https://www.youtube.com/@rossmanngroup</a><br><br>Regards anger: <a href=""https://youtu.be/3Rc3FoOPT9Q"">https://youtu.be/3Rc3FoOPT9Q</a><br><br>This whole &quot;don&#39;t be angry, just forgive&quot; thing seems to be church leaders trying to sweep abuses by the clergy under the carpet.",UC5ipcIbCig1uJcewhVkKTBA,2023-09-21T14:58:24Z
,,,,"I’m kind of convinced that these men are the type to be the men women need to stay away from by saying we “need to be in close proximity” to someone to heal and forgive. No not every person you need to forgive, ugh I hate these people. It makes me angry. Some people you do have to stay far away from like someone who hurt and continues to stalk you.",UCNFPrlzfA8BEsGjbwpOM4aw,2023-09-12T18:04:05Z
,,,,"<a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=11m07s"">11:07</a> yea I do he’s my rapist 💀 I want him miserable and suffering because I’m not even the only one he’s hurt. He’s a stalker psycho. There’s nothing wrong with being upset and angry, especially when someone has hurt and violated you so badly.<br><br>Why would I go up and talk to him because “I shouldn’t be angry” when I know he’s still stalking me?",UCNFPrlzfA8BEsGjbwpOM4aw,2023-09-12T17:19:44Z
,,,,&quot;There is unhealthy anger&quot; so like when the christians attacked the capitol?,UCSfqmIFpqlUZTlYpEd6VdHA,2023-09-10T02:13:16Z
,,,,I guess now anyone with a T Shirt can become a preacher ! Who needs all that false pretending to be one and wear a White Collar ! What makes me T d Off  and angry is hearing all the nonsense being Spewed out from these phoney money grubbing preachers !,UCJg6fimkqHB8gFpmydrDTmA,2023-09-05T01:22:56Z
,,,,"Yah , people are waking up and are Pissed Off about all the bronze age nonsense they were indoctrinated into from an early age and NOW finding out it was and is just plain B S. !",UCJg6fimkqHB8gFpmydrDTmA,2023-09-05T01:00:20Z
,,,,Off topic but it&#39;s SO ANNOYING when pastors talk and yell like they are saying slam poetry. It&#39;s so annoying and cringe.,UCw7auhgXtQqQ_YGh_rKwmSA,2023-08-30T23:19:13Z
,,,,"Hi I&#39;m not a huge commenter but have to say I have been DEVOURING your videos. Working my way through ALL and cracked up when you said &quot;that&#39;s why I painted this crab holding a knife&quot;. Your humour, knowledge of these issues and compassion is amazing!",UCmIuQNetCm6-PdhYT1eudpg,2023-08-30T20:17:39Z
,,,,I&#39;ve always hated forgiveness it puts all the onus on the victim and not the abuser meanwhile the abuser gets by scot free,UC_jJ_AYpPJPYZOeOpquL_zA,2023-08-29T10:05:09Z
,,,,"I see wrath as putting the anger in the wrong place. Using it as the drive for change or inspiration for expression shows that things aren&#39;t perfect; but unleashing everything as you pummel a bully into mashed potatoes is not healthy and only makes you into a monster.<br><br>Wrath is disproportionatal destruction, not just anger; it&#39;s every ounce of blood boiling rage stuffed into a tube, let sit for too long so it festers, then fired at unfortunate victim.<br><br>Calling anger wrath is equal to calling a campfire a wild bonfire that burns down the forest.",UCMq5jJMvhF8VqQD67M18qhQ,2023-08-26T17:33:23Z
,,,,"&#39;if God forgives and you don&#39;t, you set yourself up as higher than God.&#39;. What a stupid argument. Why is it the job of a  supposedly lowly creation to be capable of &#39;perfect&#39; divine forgiveness.",UCuAliWKtiRpmwUlhSsMta2A,2023-08-25T16:47:54Z
,,,,To think that someone could go to hell for not forgiving the person who s. assaulted them while their abuser could go to heaven just for believing in an unsympathetic god like that is insane to me. The mental gymnastics these christians have to go through to justify their dogma is on a whole other level.,UC7YSTFLva_d27qDdCXyH1KQ,2023-08-25T13:43:23Z
,,,,"<a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=47m30s"">47:30</a> the peas are your content and I am the duck",UCjmib6ksPp6ON6Of48lpO0Q,2023-08-24T17:39:22Z
,,,,"My ex-husband was an abusive alcoholic. I was going to church..the church I grew up in begging for guidance. The pastor, his wife, even my mom all just told me to pray for him and sent right back to him. Ive not forgiven them and I wont forgive him. Grown adults told me to stay with my abuser...I will always be angry about that.",UC_vMG7Q-PCkRwCivP53OA6g,2023-08-23T15:55:35Z
,,,,"I rarely feel anger and I have been a victim of crime a guy with a gun when I was 19, I just felt high as a kite that I was still alive, but how I almost hate these manipulative bastard preachers.",UCBxUpST281puYmX8LmnWSpw,2023-08-23T00:41:06Z
,,,,This episode was so cathartic and validating 💙,UC_IHz-o9uE_unGTi3nURuGg,2023-08-22T03:27:22Z
,,,,How many times do you think he practiced making that cross??,UC_hYfgf8-uV7UDyg6RXUgvQ,2023-08-16T05:52:35Z
,,,,"@ <a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=8m47s"">8:47</a> in the 1980s my friends and I got 90% our heavy metal albums from Pentecostal Bethany World prayer center&#39;s demon  album burnings (Amy Grant &amp; Michael Warnke among those demon albums). Today the Bethany World prayer center has restraining order on me simply because I&#39;m a convicted felon. Isn&#39;t that what Jesus wants? circle those wagons and keep out those sinners least they get saved.<br><br>@ <a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=9m55s"">9:55</a> I&#39;ve given this before other video the mentioned &quot;vengeance&quot; and of &quot;Justice&quot;;<br>&quot;Justice is nothing but the government excusing vengeance.&quot; -William Shakespeare<br>What does it mean to have wrath at something or someone? Webster;<br>1. : strong vengeful anger or indignation. <br>2. : retributory punishment for an offense or a crime; Justice.<br>{Vengeance and Justice are synonyms.}<br>Hebrew: אף<br>Transliteration: &#39;aph<br>Pronunciation: af<br>Definition: From H599; properly the nose or nostril; hence the {face} and occasionally a person; also (from the rapid breathing in passion) ire: - anger ({-gry}) + {before} {countenance} {face} + {forbearing} {forehead} + [long-] {suffering} {nose} {nostril} {snout} X {worthy} wrath.<br>Hebrew Usage: anger (172x), wrath/vengeance (104x).<br>Occurs: 276<br><br>@ <a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=17m10s"">17:10</a> Travor was head of that meeting I bit. All his videos &quot;Discredit their witness&quot; proving THEY are full of twisted scripture bs.<br>Oh, And Jesus in his own words said the first one was His job.<br><br>On laws as &quot;murder&quot; little world trivia for you; in most Muslim countries and some others there is a 0% murder rate. If someone kills another it isn&#39;t the government job to punish the killer, it&#39;s the family and/or community. Remember the preacher that Trevor played wanting to kill homosexuals he&#39;s picking and choosing which of those same mosaic law to follow from the Old Testament which Muslim follow to the letter in Muslim controlled countries. Therefore politically there &quot;Murder Rate&quot; with the UN is 0%. George Washington suggested following mosaic law BTW he was against man made laws.<br><br>@ <a href=""https://www.youtube.com/watch?v=B_-kjctRjUs&amp;t=31m00s"">31:00</a> what about;<br>Exodus 21:22-26<br>[22]If men strive, and hurt a woman with child, so that her fruit depart from her, and yet no mischief follow: he shall be surely punished, according as the woman&#39;s husband will lay upon him; and he shall pay as the judges determine.<br>[23]And if any mischief follow, then thou shalt give life for life,<br>[24]Eye for eye, tooth for tooth, hand for hand, foot for foot,<br>[25]Burning for burning, wound for wound, stripe for stripe.<br>[26]And if a man smite the eye of his servant, or the eye of his maid, that it perish; he shall let him go free for his eye&#39;s sake.?<br><br>On the Last section you&#39;re 100% right. They are so wrong, when I was in ministry college psychology was a requirement and that would violate everything I was taught not to do to your flock.",UCTf8q5lUVBSJbip9fLe06rA,2023-08-15T07:38:54Z
,,,,"I had a similar situation with a friend who mistreated me for a long time. I was very close to reconciling with them when they expressed clear remorse. In the end I didn&#39;t trust either of us not fall back into the same patterns. We&#39;re both very flawed people, and I could see that as much as we both meant it there and then, we were both unlikely to change enough for a proper friendship to be viable",UC1egTUbAl5fcaVcervyOTRg,2023-08-14T13:47:02Z
,,,,"“Have you ever abused one of god’s daughters?” No you fucking monster, but you clearly have judging by your obscene smile…if this guy isn’t under investigation, then he should be.<br>Most of these squirrely, twisted, incipient christofascist, god bros? I am pretty sure they are abject sociopaths. They only follow rules out of extreme fear of the (eternal) consequences and that isn’t morality, just fear. How could so many people look up to them as the arbiters of objective morality? It is grotesque.",UCcIZwaXqGBfG4-N1hmAGrDQ,2023-08-13T13:43:32Z
